index,state_time,prediction_time,stage,raw_endpoint_rmse,expression_endpoint_rmse,expression_pca_endpoint_distance,support_fraction,reference_pca_distance_median,reference_pca_distance_p90,zero_expression_fraction
0,1.0,1.0,initial_noise,1.364946692158056,0.57633381417395,12.563131332397461,0.036230304897231544,7.728272914886475,7.976956605911255,0.0
1,0.9800000190734863,0.9800000190734863,denoising,1.3451909317298416,0.5505047742226035,11.723661422729492,0.038498436844588924,7.681509017944336,8.028393745422363,0.0
2,0.9599999785423279,0.9599999785423279,denoising,1.3249886747143989,0.5289386323325828,10.893316268920898,0.03958527225776007,7.589081048965454,8.062735080718994,0.0
3,0.9399999976158142,0.9399999976158142,denoising,1.3043786745000339,0.5098743806808828,10.031975746154785,0.04094107199035235,7.340260028839111,8.039807319641113,0.0
4,0.9200000166893005,0.9200000166893005,denoising,1.2833484351260367,0.49301555031759015,9.179506301879883,0.04256559026321309,6.975450038909912,8.038512706756592,0.0
5,0.8999999761581421,0.8999999761581421,denoising,1.2619058930263265,0.47781828662933884,8.398361206054688,0.044226729629823824,6.581446409225464,7.991042375564575,0.0
6,0.8799999952316284,0.8799999952316284,denoising,1.240063021786849,0.4644757593107884,7.7090840339660645,0.0458161834102349,6.251528024673462,7.972661018371582,0.0
7,0.8600000143051147,0.8600000143051147,denoising,1.2178399335263954,0.45290403852085703,7.123557090759277,0.04733001913800335,6.028787851333618,7.893996238708496,0.0
8,0.8400000333786011,0.8400000333786011,denoising,1.1952575131574132,0.4434037985971757,6.671211242675781,0.04866763121329698,5.872277736663818,7.751129150390625,0.0
9,0.8199999928474426,0.8199999928474426,denoising,1.1723323635809928,0.4352763987831923,6.335783004760742,0.049789203413380875,5.748063087463379,7.654064655303955,0.0
10,0.800000011920929,0.800000011920929,denoising,1.1490774331626208,0.4279826452765575,6.083109378814697,0.050717183567533554,5.6909918785095215,7.576902866363525,0.0
11,0.7800000309944153,0.7800000309944153,denoising,1.125502391205889,0.4210258607043843,5.8859639167785645,0.0514750026216443,5.647608041763306,7.562347412109375,0.0
12,0.7599999904632568,0.7599999904632568,denoising,1.1016150435778047,0.41459444252981015,5.728480339050293,0.05211910785444631,5.617325782775879,7.517858982086182,0.0
13,0.7400000095367432,0.7400000095367432,denoising,1.0774227608830884,0.40814009550558195,5.595674991607666,0.05269783583263423,5.588991403579712,7.510085582733154,0.0
