step,state_time,cosine_similarity,rmse
0,1.0,0.15339190858770738,1.4352157139663904
1,0.9800000190734863,0.15262280518586735,1.4274705378182733
2,0.9599999785423279,0.15179275709276002,1.4200468960508672
3,0.9399999976158142,0.15417177591620376,1.4085040130062325
4,0.9200000166893005,0.15591193818603027,1.3982415552622833
5,0.8999999761581421,0.15571020368649374,1.3894471788707903
6,0.8799999952316284,0.15628510536957396,1.3790488301886625
7,0.8600000143051147,0.15795563144226907,1.3686648021107122
8,0.8400000333786011,0.1611527434021565,1.3557514039701657
9,0.8199999928474426,0.1655280798138106,1.3443137092676527
10,0.800000011920929,0.1689942433199771,1.329036238101124
11,0.7800000309944153,0.17012863683681173,1.3186991170265114
12,0.7599999904632568,0.17337181756122289,1.3061663145983018
13,0.7400000095367432,0.18262183513666222,1.288799798706257
14,0.7200000286102295,0.1886644741802512,1.2723637914858557
15,0.699999988079071,0.19378766261714536,1.2577978556287863
16,0.6800000071525574,0.2099918674797293,1.2327731713568182
17,0.6600000262260437,0.21444399693043478,1.2196642159199274
18,0.6399999856948853,0.2213879563486217,1.2051284260041788
19,0.6200000047683716,0.23867582296515255,1.1778749998711306
20,0.6000000238418579,0.25005987163415144,1.1572246595388116
21,0.5799999833106995,0.25558172760052955,1.1417356248582422
22,0.5600000023841858,0.27674609725217075,1.1132725501719993
23,0.5400000214576721,0.2832322000835296,1.0972141218090095
24,0.5199999809265137,0.2940373207975008,1.0807436664561347
25,0.5,0.31691315451151025,1.052764980380882
26,0.47999998927116394,0.33868504683792205,1.0241721582767678
27,0.4599999785423279,0.35199159217897674,1.0107772667238606
28,0.4399999976158142,0.3749949378238707,0.9904179541743862
29,0.41999998688697815,0.3936654792853636,0.9728508060693419
30,0.3999999761581421,0.42381983782508276,0.9461175108178497
31,0.3799999952316284,0.4483902436108515,0.9240872542259878
32,0.35999998450279236,0.47155621837125156,0.9039538131031728
33,0.3400000035762787,0.5086494702157902,0.8713788331065175
34,0.3199999928474426,0.536614331372139,0.8477316356575195
35,0.29999998211860657,0.5676346070453946,0.8189523738690829
36,0.2800000011920929,0.5891108776153328,0.7989737071642965
37,0.25999999046325684,0.6102228888987703,0.7793134038401225
38,0.23999999463558197,0.6299998747824774,0.76471067898283
39,0.2199999988079071,0.6571126785491449,0.7421385257480249
40,0.19999998807907104,0.6766035649058583,0.7263596612264583
41,0.17999999225139618,0.6975190247139762,0.7069747504998328
42,0.1599999964237213,0.7100498248948961,0.6968086468343774
43,0.14000000059604645,0.7209317652449744,0.6871773042581907
44,0.11999999731779099,0.7338934632059337,0.6745258268731914
45,0.09999999403953552,0.7441721539269025,0.6644902137040494
46,0.07999999821186066,0.7567010981729565,0.650644321706882
47,0.05999999865889549,0.76428991005493,0.6430415268713038
48,0.03999999910593033,0.7719262422510835,0.6347837046665571
49,0.019999999552965164,0.7753561383891637,0.6322127981786126
50,0.0,0.7807461993723347,0.6262273406455022
