index,state_time,prediction_time,stage,raw_endpoint_rmse,expression_endpoint_rmse,expression_pca_endpoint_distance,support_fraction,reference_pca_distance_median,reference_pca_distance_p90,zero_expression_fraction
0,1.0,1.0,initial_noise,1.3717683286736577,0.3827960447791581,20.889671325683594,0.03153457341693727,7.459413290023804,7.909617328643799,0.0
1,0.9800000190734863,0.9800000190734863,denoising,1.351506766943831,0.36877459253156364,20.009475708007812,0.03277843464258246,7.323934078216553,8.545752716064452,0.0
2,0.9599999785423279,0.9599999785423279,denoising,1.330801513029901,0.3573443874423998,19.01150131225586,0.03338213085904119,6.900989770889282,8.81789197921753,0.0
3,0.9399999976158142,0.9399999976158142,denoising,1.3097214930882175,0.3474671661684052,17.875049591064453,0.03405534310374295,6.437913179397583,8.690659713745116,0.0
4,0.9200000166893005,0.9200000166893005,denoising,1.2882539341325905,0.33883905759181326,16.62361717224121,0.034890787231883436,5.952500343322754,8.409549522399903,0.0
5,0.8999999761581421,0.8999999761581421,denoising,1.2664040396382426,0.331152128109129,15.355066299438477,0.03578665105323876,5.712184190750122,8.273204231262207,0.0
6,0.8799999952316284,0.8799999952316284,denoising,1.2441811215996947,0.3244746809828468,14.171222686767578,0.03665914814241155,5.505763292312622,8.007060718536376,0.0
7,0.8600000143051147,0.8600000143051147,denoising,1.2216021223643294,0.3188385500295835,13.177821159362793,0.03749033618719022,5.307861566543579,7.824002981185912,0.0
8,0.8400000333786011,0.8400000333786011,denoising,1.198684696437106,0.31419378535538334,12.386246681213379,0.038219712041745,5.14461612701416,7.758328628540039,0.0
9,0.8199999928474426,0.8199999928474426,denoising,1.1754421499528336,0.3100730415868632,11.791792869567871,0.03886054467185097,5.027743339538574,7.835210752487183,0.0
10,0.800000011920929,0.800000011920929,denoising,1.1518846622948833,0.3062920022349228,11.351085662841797,0.03941174919351393,4.954328775405884,7.866531133651733,0.0
11,0.7800000309944153,0.7800000309944153,denoising,1.128020056136356,0.30260514677799244,11.024432182312012,0.03989034994018117,4.898327112197876,7.909232425689697,0.0
12,0.7599999904632568,0.7599999904632568,denoising,1.1038549085706935,0.29908464505965454,10.768318176269531,0.040335986903948046,4.903090476989746,7.9633843898773184,0.0
13,0.7400000095367432,0.7400000095367432,denoising,1.079395693774246,0.29553870987996017,10.552520751953125,0.040753333431251065,4.881040334701538,7.937354373931885,0.0
14,0.7200000286102295,0.7200000286102295,denoising,1.054648117053194,0.2920499103287161,10.365296363830566,0.04115766135062383,4.863271236419678,7.951283407211304,0.0
